Left,Right,Ldist,Rdist,Label
0,0,4,4,1
0,0,4,4,1
0,0,3,4,1
0,0,4,4,1
0,0,4,4,1
0,0,3,4,1
0,0,3,4,1
0,0,4,4,1
0,0,4,4,1
0,0,3,4,1
0,0,4,4,1
0,0,4,4,1
0,0,3,4,1
0,0,4,4,1
0,0,4,4,1
0,0,3,4,1
0,0,3,4,1
0,0,4,4,1
1,0,9,4,1
1,0,13,4,1
0,0,4,6,1
0,1,4,8,1
0,1,3,15,1
0,1,3,11,1
0,0,3,4,1
1,0,12,4,1
1,0,17,4,1
1,0,18,4,1
1,0,15,4,1
0,0,6,4,1
0,0,3,5,1
0,1,4,9,1
0,0,4,6,1
1,0,11,4,1
0,0,4,6,1
0,1,3,19,1
0,1,4,10,1
1,0,9,3,1
0,1,6,7,1
0,0,4,0,1
0,0,4,0,1
0,0,3,4,1
1,0,11,4,1
0,0,3,5,1
0,1,5,7,1
1,0,9,5,1
0,0,0,4,1
0,0,6,6,1
0,1,4,12,1
0,0,3,4,1
1,0,9,4,1
1,0,12,4,1
0,1,4,8,1
0,1,3,19,1
0,0,3,6,1
0,0,6,4,1
1,0,17,4,1
0,0,4,6,1
0,1,4,18,1
0,1,3,8,1
0,0,4,4,1
1,0,27,4,1
0,1,3,10,1
0,0,4,5,1
1,0,12,5,1
1,1,8,9,1
0,1,4,7,1
0,1,3,8,1
0,0,4,4,1
1,0,13,4,1
1,0,15,5,1
0,1,5,9,1
0,1,3,12,1
1,0,10,4,1
1,0,23,6,1
1,1,19,10,1
0,0,4,0,1
0,0,4,5,1
1,0,12,4,1
0,1,5,7,1
0,1,3,14,1
0,0,4,4,1
1,0,17,4,1
1,0,14,5,1
1,1,10,9,1
0,1,3,156,1
0,0,3,5,1
1,0,13,4,1
0,1,5,7,1
0,1,3,15,1
0,0,4,5,1
1,0,8,4,1
1,0,12,5,1
1,0,8,6,1
0,0,3,0,1
0,0,3,5,1
1,0,10,4,1
0,0,5,6,1
0,1,3,16,1
0,0,5,5,1
1,0,14,4,1
