Ldist,Rdist,Left,Right,Label
4,3,0,0,0
4,3,0,0,0
5,4,0,0,0
4,4,0,0,0
4,4,0,0,0
5,4,0,0,0
4,4,0,0,0
5,4,0,0,0
5,4,0,0,0
,,,,0
4,3,0,0,0
4,3,0,0,0
4,3,0,0,0
5,4,0,0,0
4,4,0,0,0
4,4,0,0,0
5,4,0,0,0
4,4,0,0,0
5,4,0,0,0
5,4,0,0,0
5,10,0,1,0
5,13,0,1,0
4,12,0,1,0
5,8,0,1,0
5,4,0,0,0
13,4,1,0,0
16,4,1,0,0
13,4,1,0,0
3,5,0,0,0
4,7,0,1,0
3,12,0,1,0
4,12,0,1,0
4,5,0,0,0
5,4,0,0,0
9,4,1,0,0
10,4,1,0,0
9,4,1,0,0
5,5,0,0,0
4,9,0,1,0
3,10,0,1,0
4,7,0,1,0
3,4,0,0,0
13,3,1,0,0
16,4,1,0,0
7,4,1,0,0
6,7,0,1,0
4,18,0,1,0
4,13,0,1,0
4,6,0,0,0
10,4,1,0,0
16,4,1,0,0
6,5,0,0,0
4,7,0,1,0
4,6,0,0,0
4,20,0,1,0
3,7,0,1,0
4,4,0,0,0
0,4,0,0,0
10,4,1,0,0
7,4,1,0,0
4,5,0,0,0
3,17,0,1,0
4,7,0,1,0
3,4,0,0,0
9,4,1,0,0
13,4,1,0,0
6,4,0,0,0
4,7,0,1,0
3,0,0,0,0
3,6,0,0,0
6,4,0,0,0
17,4,1,0,0
10,5,1,0,0
6,6,0,0,0
3,26,0,1,0
4,12,0,1,0
4,6,0,0,0
6,4,0,0,0
0,4,0,0,0
6,4,0,0,0
4,6,0,0,0
4,16,0,1,0
4,6,0,0,0
6,4,0,0,0
19,4,1,0,0
6,4,0,0,0
4,5,0,0,0
4,20,0,1,0
3,7,0,1,0
6,4,0,0,0
0,4,0,0,0
7,4,1,0,0
7,5,1,0,0
3,15,0,1,0
4,14,0,1,0
3,5,0,0,0
11,3,1,0,0
6,4,0,0,0
6,4,0,0,0
4,6,0,0,0
3,0,0,0,0
4,6,0,0,0
4,5,0,0,0
10,4,1,0,0
9,4,1,0,0
6,4,0,0,0
4,9,0,1,0
4,21,0,1,0
4,6,0,0,0
6,4,0,0,0
9,4,1,0,0
6,4,0,0,0
6,5,0,0,0
5,11,0,1,0
4,14,0,1,0
4,5,0,0,0
5,4,0,0,0
12,4,1,0,0
5,4,0,0,0
4,9,0,1,0
4,8,0,1,0
4,4,0,0,0
12,4,1,0,0
4,4,0,0,0
4,5,0,0,0
4,13,0,1,0
4,5,0,0,0
5,4,0,0,0
11,4,1,0,0
5,4,0,0,0
4,10,0,1,0
3,8,0,1,0
4,4,0,0,0
15,4,1,0,0
4,4,0,0,0
4,9,0,1,0
4,12,0,1,0
4,5,0,0,0
8,4,1,0,0
5,4,0,0,0
4,5,0,0,0
4,17,0,1,0
4,6,0,0,0
9,4,1,0,0
8,4,1,0,0
6,5,0,0,0
5,6,0,0,0
4,0,0,0,0
3,7,0,1,0
3,5,0,0,0
7,3,1,0,0
5,3,0,0,0
6,4,0,0,0
5,11,0,1,0
4,9,0,1,0
4,4,0,0,0
11,4,1,0,0
5,4,0,0,0
5,5,0,0,0
4,17,0,1,0
4,6,0,0,0
81,4,1,0,0
12,4,1,0,0
7,4,1,0,0
5,4,0,0,0
4,10,0,1,0
4,9,0,1,0
4,4,0,0,0
8,4,1,0,0
7,4,1,0,0
5,6,0,0,0
4,15,0,1,0
4,10,0,1,0
4,6,0,0,0
12,4,1,0,0
12,4,1,0,0
7,4,1,0,0
6,6,0,0,0
3,13,0,1,0
3,14,0,1,0
4,7,0,1,0
4,4,0,0,0
16,4,1,0,0
12,4,1,0,0
6,4,0,0,0
4,11,0,1,0
4,16,0,1,0
3,6,0,0,0
6,4,0,0,0
0,4,0,0,0
9,4,1,0,0
4,6,0,0,0
3,161,0,1,0
4,7,0,1,0
4,3,0,0,0
15,4,1,0,0
13,4,1,0,0
5,4,0,0,0
3,10,0,1,0
4,13,0,1,0
3,5,0,0,0
0,4,0,0,0
15,4,1,0,0
7,4,1,0,0
4,10,0,1,0
4,14,0,1,0
4,6,0,0,0
6,3,0,0,0
